2020-01-01	3	癸卯
2020-01-02	4	甲辰
2020-01-03	5	乙巳
2020-01-04	6	丙午
2020-01-05	0	丁未
2020-01-06	1	戊申
2020-01-07	2	己酉
2020-01-08	3	庚戌
2020-01-09	4	辛亥
2020-01-10	5	壬子
2020-01-11	6	癸丑
2020-01-12	0	甲寅
2020-01-13	1	乙卯
2020-01-14	2	丙辰
2020-01-15	3	丁巳
2020-01-16	4	戊午
2020-01-17	5	己未
2020-01-18	6	庚申
2020-01-19	0	辛酉
2020-01-20	1	壬戌
2020-01-21	2	癸亥
2020-01-22	3	甲子
2020-01-23	4	乙丑
2020-01-24	5	丙寅
2020-01-25	6	丁卯
2020-01-26	0	戊辰
2020-01-27	1	己巳
2020-01-28	2	庚午
2020-01-29	3	辛未
2020-01-30	4	壬申
2020-01-31	5	癸酉
2020-02-01	6	甲戌
2020-02-02	0	乙亥
2020-02-03	1	丙子
2020-02-04	2	丁丑
2020-02-05	3	戊寅
2020-02-06	4	己卯
2020-02-07	5	庚辰
2020-02-08	6	辛巳
2020-02-09	0	壬午
2020-02-10	1	癸未
2020-02-11	2	甲申
2020-02-12	3	乙酉
2020-02-13	4	丙戌
2020-02-14	5	丁亥
2020-02-15	6	戊子
2020-02-16	0	己丑
2020-02-17	1	庚寅
2020-02-18	2	辛卯
2020-02-19	3	壬辰
2020-02-20	4	癸巳
2020-02-21	5	甲午
2020-02-22	6	乙未
2020-02-23	0	丙申
2020-02-24	1	丁酉
2020-02-25	2	戊戌
2020-02-26	3	己亥
2020-02-27	4	庚子
2020-02-28	5	辛丑
2020-02-29	6	壬寅
2020-03-01	0	癸卯
2020-03-02	1	甲辰
2020-03-03	2	乙巳
2020-03-04	3	丙午
2020-03-05	4	丁未
2020-03-06	5	戊申
2020-03-07	6	己酉
2020-03-08	0	庚戌
2020-03-09	1	辛亥
2020-03-10	2	壬子
2020-03-11	3	癸丑
2020-03-12	4	甲寅
2020-03-13	5	乙卯
2020-03-14	6	丙辰
2020-03-15	0	丁巳
2020-03-16	1	戊午
2020-03-17	2	己未
2020-03-18	3	庚申
2020-03-19	4	辛酉
2020-03-20	5	壬戌
2020-03-21	6	癸亥
2020-03-22	0	甲子
2020-03-23	1	乙丑
2020-03-24	2	丙寅
2020-03-25	3	丁卯
2020-03-26	4	戊辰
2020-03-27	5	己巳
2020-03-28	6	庚午
2020-03-29	0	辛未
2020-03-30	1	壬申
2020-03-31	2	癸酉
2020-04-01	3	甲戌
2020-04-02	4	乙亥
2020-04-03	5	丙子
2020-04-04	6	丁丑
2020-04-05	0	戊寅
2020-04-06	1	己卯
2020-04-07	2	庚辰
2020-04-08	3	辛巳
2020-04-09	4	壬午
2020-04-10	5	癸未
2020-04-11	6	甲申
2020-04-12	0	乙酉
2020-04-13	1	丙戌
2020-04-14	2	丁亥
2020-04-15	3	戊子
2020-04-16	4	己丑
2020-04-17	5	庚寅
2020-04-18	6	辛卯
2020-04-19	0	壬辰
2020-04-20	1	癸巳
2020-04-21	2	甲午
2020-04-22	3	乙未
2020-04-23	4	丙申
2020-04-24	5	丁酉
2020-04-25	6	戊戌
2020-04-26	0	己亥
2020-04-27	1	庚子
2020-04-28	2	辛丑
2020-04-29	3	壬寅
2020-04-30	4	癸卯
2020-05-01	5	甲辰
2020-05-02	6	乙巳
2020-05-03	0	丙午
2020-05-04	1	丁未
2020-05-05	2	戊申
2020-05-06	3	己酉
2020-05-07	4	庚戌
2020-05-08	5	辛亥
2020-05-09	6	壬子
2020-05-10	0	癸丑
2020-05-11	1	甲寅
2020-05-12	2	乙卯
2020-05-13	3	丙辰
2020-05-14	4	丁巳
2020-05-15	5	戊午
2020-05-16	6	己未
2020-05-17	0	庚申
2020-05-18	1	辛酉
2020-05-19	2	壬戌
2020-05-20	3	癸亥
2020-05-21	4	甲子
2020-05-22	5	乙丑
2020-05-23	6	丙寅
2020-05-24	0	丁卯
2020-05-25	1	戊辰
2020-05-26	2	己巳
2020-05-27	3	庚午
2020-05-28	4	辛未
2020-05-29	5	壬申
2020-05-30	6	癸酉
2020-05-31	0	甲戌
2020-06-01	1	乙亥
2020-06-02	2	丙子
2020-06-03	3	丁丑
2020-06-04	4	戊寅
2020-06-05	5	己卯
2020-06-06	6	庚辰
2020-06-07	0	辛巳
